rank,name,channel_Info,Posts,Followers,Avg__Likes,Eng_Rate,Category_Beauty_&_Makeup,Category_Craft/DIY,"Category_Health,_Sports_&_Fitness",Category_Lifestyle,Category_News_&_Politics,Category_entertainment,Category_fashion,Category_food,Category_photography,Category_technology
177,houseofhighlights,male,26900,37900000000.0,26920.0,0.008,False,False,True,False,False,False,False,False,False,False
179,eminem,male,721000,37600000000.0,721000.0,0.024,False,False,False,False,False,True,False,False,False,False
180,sachintendulkar,male,1100,37500000000.0,1070.0,0.017,False,False,True,False,False,False,False,False,False,False
181,danialves,male,3400,37400000000.0,3400.0,0.008,False,False,True,False,False,False,False,False,False,False
182,gisel_la,female,10200,37400000000.0,10170.0,0.002,False,False,False,False,False,True,False,False,False,False
183,blakelively,male,121000,37000000000.0,121000.0,0.055999999999999994,False,False,False,False,False,True,False,False,False,False
184,chelseafc,community,17300,36600000000.0,17290.0,0.006,False,False,True,False,False,False,False,False,False,False
185,shahidkapoor,male,1200,36600000000.0,1180.0,0.024,False,False,False,False,False,True,False,False,False,False
186,kimberly.loaiza,female,578000,36600000000.0,578000.0,0.044000000000000004,False,False,False,False,False,True,False,False,False,False
187,toni.kr8s,male,1000,36600000000.0,970.0,0.012,False,False,True,False,False,False,False,False,False,False
188,antogriezmann,male,872000,36400000000.0,872000.0,0.018000000000000002,False,False,True,False,False,False,False,False,False,False
189,mercedesbenz,brand,18500,36400000000.0,18480.0,0.003,False,False,False,False,False,False,False,False,False,True
190,nattinatasha,female,54000,36100000000.0,54000.0,0.013000000000000001,False,False,False,False,False,True,False,False,False,False
191,tigerjackieshroff,male,2200,36100000000.0,2170.0,0.019,False,False,False,False,False,True,False,False,False,False
192,lunamaya,female,4200,36100000000.0,4170.0,0.002,False,False,False,False,False,True,False,False,False,False
193,mancity,male,19600,36000000000.0,19560.0,0.004,False,False,True,False,False,False,False,False,False,False
194,disney,brand,7700,35800000000.0,7700.0,0.003,False,False,False,False,False,True,False,False,False,False
195,barackobama,male,743000,35500000000.0,743000.0,0.017,False,False,False,False,True,False,False,False,False,False
196,fcbayern,male,16800,35400000000.0,16780.0,0.006,False,False,True,False,False,False,False,False,False,False
197,colesprouse,male,1100,35300000000.0,1140.0,0.035,False,False,False,False,False,True,False,False,False,False
198,shaymitchell,male,6300,35100000000.0,6310.0,0.012,False,False,False,False,False,True,False,False,False,False
199,ivetesangalo,female,7800,35000000000.0,7770.0,0.004,False,False,False,False,False,True,False,False,False,False
200,paollaoliveirareal,female,4800,34900000000.0,4780.0,0.006999999999999999,False,False,False,False,False,True,False,False,False,False
